Drug Name,Active Ingredient,Molecular Formula,Molecular Weight (g/mol)
OxyContin,oxycodone hydrochloride,C18H22ClNO4,351.8
Percocet,oxycodone hydrochloride,C18H22ClNO4,351.8
Tylenol,acetaminophen,C8H9NO2,151.16
Vicodin,hydrocodone bitartrate/acetaminophen,C30H36N2O11,600.6
Valium,diazepam,C16H13ClN2O,284.74
Xanax,alprazolam,C17H13ClN4,308.8
Restoril,temazepam,C16H13ClN2O2,300.74
Ativan,Iorazepam,C15H10Cl2N2O2,321.16
Klonopin,clonazepam,C15H10ClN3O3,315.71
Adderall,dextroamphetamine + amphetamine + aspartic acid + glucaric acid + sulfuric acid,C64H99N7O20S2,1350.6
Unasyn,ampicillin sodium,C16H18N3NaO4S,371.39
Amoxil,amoxicillin trihydrate,C16H25N3O8S,419.45
Doxycycline,doxycycline monohydrate,C22H26N2O9,462.4
Bactrim,sulfamethoxazole + trimethoprim,C24H29N7O6S,543.6
Lariam,mefloquine hydrochloride,C17H17ClF6N2O,414.78
Aralen,chloroquine phosphate,C18H29ClN3O4P,417.9
Valtrex,valacyclovir hydrochloride,C13H21ClN6O4,360.8
